render_frame,surface_index,source_frame_id,source_time,source_iteration,source_path,source_sha256,output_path
40,40,visual_0040,0.2,1071,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0040.facets,39b2336ca9cdcfab809d00a39145232256227d9bb2d39c971acc133e0181e95d,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0040.png
41,41,visual_0041,0.205,1097,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0041.facets,c462394a60d8989443434bf03f2aa4c60f9e936bef4d747b4046e17697b01453,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0041.png
42,42,visual_0042,0.21,1123,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0042.facets,3357373bd41509b3f97b84602f9d1caf8b874f292f324b54134fdd648af98d62,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0042.png
43,43,visual_0043,0.215,1149,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0043.facets,d5a481f43475b2a2b375da27e90b11889432c34421e45b972a578c021396453b,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0043.png
44,44,visual_0044,0.22,1175,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0044.facets,95a9edf99cbd2bcd9aedd46698d8c9ccef41ff49dc1cc2fc89080884a8412b38,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0044.png
45,45,visual_0045,0.225,1201,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0045.facets,0128d7cb6dd588f52930ac58e12409a2cdf399e4f2efaf5b8bee8bafeaef3090,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0045.png
46,46,visual_0046,0.23,1226,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0046.facets,6d849c030b07a7bbccb70dc60ce2cb9a9f07ce550c7b27f99acf097d3c2cc6db,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0046.png
47,47,visual_0047,0.235,1251,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0047.facets,24a27ce6217d68f7bfcd04c362522fb80033d07cc597664da45a4ba685d5450c,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0047.png
48,48,visual_0048,0.24,1276,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0048.facets,08172696afe0e47935b6083859d680e411c8fd50391e543718ddfda69e8eaa92,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0048.png
49,49,visual_0049,0.245,1312,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0049.facets,02bf1b2dc59154e197439a1ca1f045eeb6763c1bcd90df8137e533e585c4e593,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0049.png
